No.	UniProtKB ID	Entry Name	Organism	Gene Name
233	Q14626	I11RA_HUMAN	Homo sapiens (Human)	IL11RA
234	Q14627	I13R2_HUMAN	Homo sapiens (Human)	IL13RA2
235	Q13261	I15RA_HUMAN	Homo sapiens (Human)	IL15RA
236	Q14116	IL18_HUMAN	Homo sapiens (Human)	IL18
237	P27930	IL1R2_HUMAN	Homo sapiens (Human)	IL1R2
238	Q5VWK5	IL23R_HUMAN	Homo sapiens (Human)	IL23R
239	P14784	IL2RB_HUMAN	Homo sapiens (Human)	IL2RB
240	P24394	IL4RA_HUMAN	Homo sapiens (Human)	IL4R
241	Q01344	IL5RA_HUMAN	Homo sapiens (Human)	IL5RA
242	P08887	IL6RA_HUMAN	Homo sapiens (Human)	IL6R
243	P40189	IL6RB_HUMAN	Homo sapiens (Human)	IL6ST
244	P16871	IL7RA_HUMAN	Homo sapiens (Human)	IL7R
245	P06213	INSR_HUMAN	Homo sapiens (Human)	INSR
246	P13612	ITA4_HUMAN	Homo sapiens (Human)	ITGA4
247	P23229	ITA6_HUMAN	Homo sapiens (Human)	ITGA6
248	P06756	ITAV_HUMAN	Homo sapiens (Human)	ITGAV
249	P05556	ITB1_HUMAN	Homo sapiens (Human)	ITGB1
250	P05107	ITB2_HUMAN	Homo sapiens (Human)	ITGB2
251	P05106	ITB3_HUMAN	Homo sapiens (Human)	ITGB3
252	P16144	ITB4_HUMAN	Homo sapiens (Human)	ITGB4
253	Q9Y287	ITM2B_HUMAN	Homo sapiens (Human)	ITM2B
254	Q60625	ICAM5_MOUSE	Mus musculus (Mouse)	Icam5
255	Q9JHJ8	ICOSL_MOUSE	Mus musculus (Mouse)	Icoslg
256	Q60819	I15RA_MOUSE	Mus musculus (Mouse)	Il15ra
257	D3ZGQ0	D3ZGQ0_RAT	Rattus norvegicus (Rat)	Il17rd
258	P27931	IL1R2_MOUSE	Mus musculus (Mouse)	Il1r2
259	P34902	IL2RG_MOUSE	Mus musculus (Mouse)	Il2rg
260	Q9QUM0	ITA2B_MOUSE	Mus musculus (Mouse)	Itga2b
261	A2A863	ITB4_MOUSE	Mus musculus (Mouse)	Itgb4
262	P78504	JAG1_HUMAN	Homo sapiens (Human)	JAG1
263	P57087	JAM2_HUMAN	Homo sapiens (Human)	JAM2
264	Q9BX67	JAM3_HUMAN	Homo sapiens (Human)	JAM3
265	P35968	VGFR2_HUMAN	Homo sapiens (Human)	KDR
266	Q5VV43	K0319_HUMAN	Homo sapiens (Human)	KIAA0319
267	P10721	KIT_HUMAN	Homo sapiens (Human)	KIT
268	P21583	SCF_HUMAN	Homo sapiens (Human)	KITLG
269	Q9UEF7	KLOT_HUMAN	Homo sapiens (Human)	KL
270	Q7TSU7	KIRR2_MOUSE	Mus musculus (Mouse)	Kirrel2
271	P20826	SCF_MOUSE	Mus musculus (Mouse)	Kitlg
272	P32004	L1CAM_HUMAN	Homo sapiens (Human)	L1CAM
273	P11627	L1CAM_MOUSE	Mus musculus (Mouse)	L1cam
274	Q6GTX8	LAIR1_HUMAN	Homo sapiens (Human)	LAIR1
275	P01130	LDLR_HUMAN	Homo sapiens (Human)	LDLR
276	P48357	LEPR_HUMAN	Homo sapiens (Human)	LEPR
277	Q12907	LMAN2_HUMAN	Homo sapiens (Human)	LMAN2
278	Q9UIQ6	LCAP_HUMAN	Homo sapiens (Human)	LNPEP
279	Q96JA1	LRIG1_HUMAN	Homo sapiens (Human)	LRIG1
280	O94898	LRIG2_HUMAN	Homo sapiens (Human)	LRIG2
281	Q6UXM1	LRIG3_HUMAN	Homo sapiens (Human)	LRIG3
282	Q07954	LRP1_HUMAN	Homo sapiens (Human)	LRP1
283	Q9NZR2	LRP1B_HUMAN	Homo sapiens (Human)	LRP1B
284	O75581	LRP6_HUMAN	Homo sapiens (Human)	LRP6
285	Q14114	LRP8_HUMAN	Homo sapiens (Human)	LRP8
286	Q6UXK5	LRRN1_HUMAN	Homo sapiens (Human)	LRRN1
287	O95274	LYPD3_HUMAN	Homo sapiens (Human)	LYPD3
288	Q9Y5Y7	LYVE1_HUMAN	Homo sapiens (Human)	LYVE1
289	Q61790	LAG3_MOUSE	Mus musculus (Mouse)	Lag3
290	Q9JI18	LRP1B_MOUSE	Mus musculus (Mouse)	Lrp1b
291	P98158	LRP2_RAT	Rattus norvegicus (Rat)	Lrp2
