Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
SERPINA4|P29622;SERPINA4;NA;1,0E-02;1,2E-01;-0,279
PACSIN1|Q9BY11;PACSIN1;turquoise;1,0E-02;1,2E-01;0,248
GAA|P10253;GAA;blue;1,0E-02;1,2E-01;-0,120
VNN1|O95497;VNN1;NA;1,0E-02;1,2E-01;-0,382
EPG5|Q9HCE0;EPG5;grey;1,1E-02;1,2E-01;0,130
B3GNT9|Q6UX72;B3GNT9;NA;1,1E-02;1,2E-01;-0,171
PACS1|Q6VY07-2;PACS1;turquoise;1,1E-02;1,2E-01;0,329
PTPLAD1|Q9P035;PTPLAD1;turquoise;1,1E-02;1,2E-01;0,230
CAPN2|P17655;CAPN2;pink;1,1E-02;1,2E-01;-0,145
LMNB1|P20700;LMNB1;lightcyan;1,1E-02;1,2E-01;-0,259
FABP4|P15090;FABP4;NA;1,1E-02;1,2E-01;-0,273
OXR1|Q8N573;OXR1;tan;1,1E-02;1,2E-01;0,197
IGSF1|Q8N6C5-4;IGSF1;darkgreen;1,1E-02;1,2E-01;-0,095
TOM1L2|Q6ZVM7;TOM1L2;turquoise;1,1E-02;1,2E-01;0,157
FDPS|P14324;FDPS;darkgreen;1,1E-02;1,2E-01;0,134
VPS41|P49754;VPS41;yellow;1,2E-02;1,2E-01;0,140
VWF|P04275;VWF;magenta;1,2E-02;1,2E-01;-0,137
PSMD2|Q13200;PSMD2;black;1,2E-02;1,2E-01;0,276
PAPPA2|Q9BXP8;PAPPA2;NA;1,2E-02;1,2E-01;-0,121
CALB2|P22676;CALB2;steelblue;1,2E-02;1,2E-01;0,307
GABRA2|E9PBQ7;GABRA2;turquoise;1,2E-02;1,2E-01;0,235
GLIPR2|Q9H4G4;GLIPR2;yellow;1,2E-02;1,2E-01;-0,163
TPI1|P60174;TPI1;darkolivegreen;1,2E-02;1,2E-01;0,112
SDK1|A0A087WTQ6;SDK1;NA;1,2E-02;1,2E-01;-0,108
