Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
SV2A|Q7L0J3;SV2A;turquoise;0,5024;0,7837;-0,046
ADH5|P11766;ADH5;green;0,5033;0,7847;-0,073
CDH1|P12830;CDH1;NA;0,5038;0,7850;-0,052
C4BPA|P04003;C4BPA;midnightblue;0,5044;0,7852;-0,111
CAPN1|P07384;CAPN1;blue;0,5047;0,7852;-0,037
CNTN4|Q8IWV2;CNTN4;brown;0,5047;0,7852;0,028
SCARF2|A0A096LNX8;SCARF2;NA;0,5061;0,7869;0,026
ATP2B1|P20020;ATP2B1;turquoise;0,5072;0,7882;-0,114
SERPINF1|P36955;SERPINF1;grey;0,5081;0,7892;-0,035
AHSP|Q9NZD4;AHSP;green;0,5088;0,7892;-0,163
DYNC1I2|Q13409;DYNC1I2;blue;0,5089;0,7892;0,064
PZP|P20742;PZP;midnightblue;0,5089;0,7892;-0,108
CLIC4|Q9Y696;CLIC4;yellow;0,5109;0,7919;-0,035
MEGF9|Q9H1U4;MEGF9;green;0,5116;0,7925;0,023
ANGPTL2|Q9UKU9;ANGPTL2;NA;0,5123;0,7931;-0,018
SEPT7|E7EPK1;07/Sep;turquoise;0,5129;0,7937;-0,055
MPZ|P25189-2;MPZ;green;0,5135;0,7941;0,073
PRCP|P42785;PRCP;green;0,5138;0,7941;-0,049
BTD|P43251-2;BTD;green;0,5142;0,7942;-0,027
S100A7|P31151;S100A7;NA;0,5144;0,7942;-0,146
SPOCK3|Q9BQ16;SPOCK3;blue;0,5150;0,7946;-0,022
PRRT1|Q99946;PRRT1;greenyellow;0,5152;0,7946;-0,053
KRT14|P02533;KRT14;floralwhite;0,5164;0,7958;0,074
EMCN|Q9ULC0;EMCN;NA;0,5168;0,7958;-0,060
SLC2A1|P11166;SLC2A1;turquoise;0,5170;0,7958;-0,159
NPPB|P16860;NPPB;NA;0,5173;0,7958;-0,051
RPS28|P62857;RPS28;magenta;0,5173;0,7958;-0,096
LAMB1|E7EPA6;LAMB1;grey;0,5186;0,7961;0,050
ALDOB|P05062;ALDOB;red;0,5187;0,7961;-0,095
NPW|Q8N729;NPW;NA;0,5190;0,7961;-0,129
MYLPF|Q96A32;MYLPF;NA;0,5191;0,7961;0,083
RGN|Q15493;RGN;blue;0,5194;0,7961;0,039
ST8SIA3|O43173;ST8SIA3;grey;0,5196;0,7961;-0,038
NME3|Q13232;NME3;brown;0,5198;0,7961;-0,023
ELFN2|Q5R3F8;ELFN2;orange;0,5199;0,7961;-0,034
EMILIN2|Q9BXX0;EMILIN2;red;0,5200;0,7961;0,020
PON3|Q15166;PON3;NA;0,5208;0,7966;-0,078
NRXN1|Q9ULB1-3;NRXN1;turquoise;0,5209;0,7966;-0,025
GGT1|P19440;GGT1;grey;0,5217;0,7969;-0,042
EFNA3|P52797;EFNA3;turquoise;0,5218;0,7969;-0,061
SLC24A4|Q8NFF2;SLC24A4;NA;0,5219;0,7969;-0,061
PHB|P35232;PHB;brown;0,5233;0,7982;-0,066
MYH6|P13533;MYH6;NA;0,5236;0,7982;-0,089
RAB1A|P62820;RAB1A;turquoise;0,5239;0,7982;-0,035
NCR3LG1|Q68D85;NCR3LG1;NA;0,5241;0,7982;-0,048
LDLRAD3|Q86YD5;LDLRAD3;NA;0,5242;0,7982;-0,020
NUCB1|Q02818;NUCB1;magenta;0,5245;0,7982;-0,027
YIPF3|E7EQR8;YIPF3;NA;0,5247;0,7982;0,020
GJC2|Q5T442;GJC2;yellow;0,5258;0,7995;-0,051
MAP1A|E9PGC8;MAP1A;purple;0,5268;0,8006;0,135
NFASC|O94856-8;NFASC;salmon;0,5274;0,8006;-0,052
PLEC|Q15149;PLEC;green;0,5275;0,8006;0,045
FOLR3|A0A087WXL1;FOLR3;NA;0,5283;0,8015;-0,036
CD177|A0A087WVM2;CD177;NA;0,5291;0,8022;-0,080
IMMT|Q16891;IMMT;brown;0,5293;0,8022;-0,085
SEMA3F|Q13275-2;SEMA3F;NA;0,5303;0,8031;-0,020
SLC17A7|Q9P2U7;SLC17A7;turquoise;0,5305;0,8031;0,056
FTL|P02792;FTL;blue;0,5308;0,8031;0,044
CPA4|Q9UI42;CPA4;NA;0,5310;0,8031;0,060
ACTN2|P35609;ACTN2;turquoise;0,5322;0,8041;-0,058
ADAM22|Q9P0K1;ADAM22;darkolivegreen;0,5326;0,8041;-0,031
ZBTB8OS|A8K0B5;ZBTB8OS;NA;0,5327;0,8041;-0,191
FLRT1|Q9NZU1;FLRT1;NA;0,5328;0,8041;0,018
BGN|P21810;BGN;red;0,5334;0,8047;-0,040
CEL|X6R868;CEL;NA;0,5342;0,8049;-0,060
BID|P55957-2;BID;grey;0,5344;0,8049;-0,050
GGT7|Q9UJ14;GGT7;turquoise;0,5348;0,8049;0,019
SLC8A1|P32418;SLC8A1;turquoise;0,5349;0,8049;0,035
B4GALT6|Q9UBX8;B4GALT6;NA;0,5350;0,8049;0,043
UROD|P06132;UROD;magenta;0,5355;0,8052;-0,084
NBPF14|A0A0B4J2B3;NBPF14;NA;0,5365;0,8062;0,192
HBB|P68871;HBB;red;0,5399;0,8105;-0,186
HBD|P02042;HBD;red;0,5399;0,8105;-0,178
TRHDE|Q9UKU6;TRHDE;turquoise;0,5411;0,8119;-0,027
B4GALNT1|Q00973;B4GALNT1;grey;0,5416;0,8123;0,032
MAN1B1|Q9UKM7;MAN1B1;grey;0,5424;0,8123;-0,022
ATP6V1B2|P21281;ATP6V1B2;turquoise;0,5427;0,8123;-0,072
CTSO|P43234;CTSO;NA;0,5432;0,8123;-0,027
CKMT1A|P12532;CKMT1A;brown;0,5432;0,8123;-0,033
FSTL1|Q12841;FSTL1;NA;0,5433;0,8123;-0,018
BPGM|P07738;BPGM;midnightblue;0,5433;0,8123;-0,102
UQCRB|P14927;UQCRB;brown;0,5439;0,8126;-0,095
NOTCH1|P46531;NOTCH1;yellow;0,5441;0,8126;0,017
B4GALNT4|Q76KP1;B4GALNT4;NA;0,5452;0,8138;0,036
MYBPC1|Q00872-6;MYBPC1;NA;0,5458;0,8139;0,047
CNDP1|Q96KN2;CNDP1;yellow;0,5462;0,8139;-0,031
PLS3|P13797;PLS3;yellow;0,5464;0,8139;-0,023
RBBP9|O75884;RBBP9;blue;0,5465;0,8139;-0,124
ERVMER34-1|Q9H9K5;ERVMER34-1;NA;0,5467;0,8139;-0,078
EGFR|P00533;EGFR;grey;0,5484;0,8160;-0,018
0|P01714;0;NA;0,5487;0,8161;-0,084
MFGE8|X6R3G6;MFGE8;red;0,5490;0,8161;-0,079
PAMR1|Q6UXH9-2;PAMR1;NA;0,5499;0,8170;-0,031
PRNP|P04156;PRNP;darkolivegreen;0,5502;0,8170;0,040
CDH8|P55286;CDH8;turquoise;0,5506;0,8172;0,055
SCN3B|Q9NY72;SCN3B;brown;0,5511;0,8173;0,047
ICAM5|Q9UMF0;ICAM5;turquoise;0,5512;0,8173;-0,045
PODXL2|Q9NZ53;PODXL2;greenyellow;0,5516;0,8173;-0,027
NOV|P48745;NOV;NA;0,5518;0,8173;-0,032
0|P06326;0;NA;0,5522;0,8173;-0,110
C1orf159|Q96HA4;C1orf159;NA;0,5523;0,8173;0,023
CAPG|P40121;CAPG;lightgreen;0,5529;0,8176;0,030
AP2A1|O95782;AP2A1;turquoise;0,5554;0,8209;-0,042
IFI30|P13284;IFI30;NA;0,5558;0,8211;-0,048
PCDH8|O95206;PCDH8;turquoise;0,5563;0,8214;-0,032
B2M|H0YLF3;B2M;darkgrey;0,5577;0,8223;0,043
HLA-B|P30498;HLA-B;grey;0,5581;0,8223;-0,139
DGCR2|P98153;DGCR2;NA;0,5584;0,8223;0,038
PA2G4|Q9UQ80;PA2G4;yellow;0,5588;0,8223;0,067
LYPD1|Q8N2G4-2;LYPD1;NA;0,5593;0,8223;-0,035
SEMA5A|Q13591;SEMA5A;NA;0,5595;0,8223;0,025
PRND|Q9UKY0;PRND;NA;0,5600;0,8223;-0,051
MFAP2|P55001;MFAP2;red;0,5600;0,8223;0,042
CNTN3|Q9P232;CNTN3;greenyellow;0,5602;0,8223;0,024
C1orf21|Q9H246;C1orf21;tan;0,5604;0,8223;-0,066
ABHD14A|Q9BUJ0;ABHD14A;blue;0,5604;0,8223;0,035
ST3GAL6|A0A087WXB8;ST3GAL6;NA;0,5607;0,8223;0,033
GNAI2|P04899-4;GNAI2;salmon;0,5614;0,8223;-0,055
CAP1|Q01518;CAP1;violet;0,5614;0,8223;-0,053
FGB|P02675;FGB;midnightblue;0,5615;0,8223;-0,097
MYH2|Q9UKX2;MYH2;NA;0,5617;0,8223;0,053
RAB7A|P51149;RAB7A;grey;0,5617;0,8223;0,178
APP|P05067;APP;green;0,5626;0,8231;-0,031
RCN1|Q15293;RCN1;brown;0,5630;0,8233;-0,027
MERTK|Q12866;MERTK;grey;0,5637;0,8236;0,026
PCSK5|Q92824;PCSK5;NA;0,5638;0,8236;-0,044
CHI3L2|Q15782;CHI3L2;NA;0,5640;0,8236;0,059
SHISA4|Q96DD7;SHISA4;grey;0,5648;0,8236;0,029
FGFR2|P21802-16;FGFR2;NA;0,5652;0,8236;-0,022
INHBA|P08476;INHBA;NA;0,5657;0,8236;-0,039
TFF1|P04155;TFF1;NA;0,5657;0,8236;-0,086
RBP1|A0A0A0MQT0;RBP1;blue;0,5657;0,8236;-0,035
LYPD6|Q86Y78;LYPD6;pink;0,5658;0,8236;-0,032
HPCAL1|P37235;HPCAL1;turquoise;0,5663;0,8239;0,050
CADPS2|H7BYR4;CADPS2;brown;0,5671;0,8246;-0,056
HNRNPA2B1|P22626;HNRNPA2B1;darkred;0,5673;0,8246;-0,058
CDC42|P60953-1;CDC42;turquoise;0,5678;0,8248;0,037
0|P01611;0;NA;0,5683;0,8252;-0,027
TMIE|Q8NEW7;TMIE;NA;0,5693;0,8263;0,049
BRINP1|O60477;BRINP1;brown;0,5699;0,8267;-0,024
LRPAP1|P30533;LRPAP1;grey;0,5703;0,8269;-0,031
KRT17|Q04695;KRT17;grey60;0,5718;0,8286;-0,123
SDF4|Q9BRK5;SDF4;NA;0,5721;0,8286;-0,025
IDH3A|P50213;IDH3A;turquoise;0,5727;0,8291;-0,077
IGHG2|P01859;IGHG2;midnightblue;0,5731;0,8292;0,138
PRNP|X6RKS3;PRNP;darkolivegreen;0,5742;0,8297;-0,031
B4GALT3|O60512;B4GALT3;NA;0,5742;0,8297;0,043
NRSN2|Q9GZP1;NRSN2;NA;0,5743;0,8297;-0,045
ANXA7|P20073;ANXA7;lightcyan;0,5752;0,8303;0,040
PCDHB15|Q9Y5E8;PCDHB15;grey;0,5757;0,8303;-0,032
FKBP2|P26885;FKBP2;grey;0,5757;0,8303;-0,033
UCHL3|P15374;UCHL3;blue;0,5760;0,8303;0,063
LPHN2|B1ALU1;LPHN2;paleturquoise;0,5767;0,8303;0,039
GSTM3|P21266;GSTM3;darkgreen;0,5769;0,8303;-0,069
CHL1|O00533;CHL1;brown;0,5772;0,8303;-0,036
TMEM230|A0A087WTT2;TMEM230;grey;0,5772;0,8303;0,046
RMDN3|Q96TC7;RMDN3;white;0,5773;0,8303;-0,034
SECTM1|Q8WVN6;SECTM1;NA;0,5781;0,8307;-0,049
PDGFB|P01127;PDGFB;NA;0,5782;0,8307;-0,031
ATP2A1|O14983;ATP2A1;turquoise;0,5788;0,8310;0,051
ZG16|O60844;ZG16;NA;0,5790;0,8310;-0,073
CALCA|P06881;CALCA;NA;0,5808;0,8333;-0,061
FREM2|Q5SZK8;FREM2;NA;0,5815;0,8338;-0,029
UQCRHL|A0A096LP55;UQCRHL;NA;0,5826;0,8350;-0,070
GRP|P07492;GRP;NA;0,5832;0,8355;0,044
PNP|P00491;PNP;saddlebrown;0,5846;0,8359;-0,090
APLP1|K7EMN4;APLP1;yellow;0,5847;0,8359;-0,041
ACE|P12821;ACE;orange;0,5851;0,8359;-0,017
ZFPL1|O95159;ZFPL1;white;0,5853;0,8359;-0,017
FAM134B|Q9H6L5;FAM134B;NA;0,5856;0,8359;0,053
WBP2|Q969T9;WBP2;turquoise;0,5860;0,8359;0,040
CD47|Q08722;CD47;turquoise;0,5861;0,8359;-0,048
GCHFR|P30047;GCHFR;grey;0,5865;0,8359;0,047
LGALS3BP|Q08380;LGALS3BP;yellow;0,5866;0,8359;-0,027
UBE2N|P61088;UBE2N;floralwhite;0,5867;0,8359;-0,031
MGAT5|Q09328;MGAT5;NA;0,5870;0,8359;-0,030
GALNT10|Q86SR1;GALNT10;NA;0,5873;0,8359;-0,015
RPL12|P30050;RPL12;grey60;0,5873;0,8359;-0,049
XYLT2|Q9H1B5;XYLT2;NA;0,5878;0,8359;-0,027
RPS9|P46781;RPS9;red;0,5879;0,8359;-0,061
QDPR|P09417;QDPR;yellow;0,5888;0,8367;0,033
CFP|P27918;CFP;NA;0,5893;0,8370;-0,056
LTBP1|Q14766-4;LTBP1;NA;0,5900;0,8370;0,023
SLC4A4|Q9Y6R1;SLC4A4;turquoise;0,5900;0,8370;0,049
OSGEPL1|Q9H4B0;OSGEPL1;NA;0,5901;0,8370;-0,075
KRT77|Q7Z794;KRT77;NA;0,5914;0,8382;0,080
KLK11|Q9UBX7-3;KLK11;NA;0,5916;0,8382;0,052
LPHN3|E7EUW2;LPHN3;turquoise;0,5926;0,8391;-0,025
CCS|O14618;CCS;sienna3;0,5928;0,8391;0,050
CUTA|O60888-2;CUTA;grey;0,5936;0,8398;-0,018
HMGB1|P09429;HMGB1;blue;0,5947;0,8403;-0,081
MBP|H7BYR8;MBP;yellow;0,5948;0,8403;-0,034
TENM3|Q9P273;TENM3;turquoise;0,5949;0,8403;0,017
IFNAR1|P17181;IFNAR1;NA;0,5951;0,8403;0,025
LY75|O60449-2;LY75;NA;0,5954;0,8403;0,031
IGHG1|A0A087WYC5;IGHG1;midnightblue;0,5964;0,8414;0,102
IGHG3|A0A087WVW2;IGHG3;midnightblue;0,5968;0,8415;0,104
B3GAT1|Q9P2W7;B3GAT1;NA;0,5983;0,8428;-0,033
APLP1|P51693-2;APLP1;yellow;0,5985;0,8428;-0,030
ADAM9|Q13443;ADAM9;grey;0,5988;0,8428;0,021
MYH4|Q9Y623;MYH4;NA;0,5989;0,8428;0,055
LTBP4|Q8N2S1-2;LTBP4;NA;0,6011;0,8448;-0,019
IGFBPL1|Q8WX77;IGFBPL1;NA;0,6013;0,8448;-0,043
ENPP2|Q13822-3;ENPP2;yellow;0,6017;0,8448;-0,037
GALNT7|Q86SF2;GALNT7;NA;0,6019;0,8448;-0,027
MYH7|P12883;MYH7;NA;0,6021;0,8448;0,042
S100A12|P80511;S100A12;midnightblue;0,6024;0,8448;-0,167
CNTN5|O94779;CNTN5;darkmagenta;0,6027;0,8448;0,022
0|P01779;0;NA;0,6028;0,8448;-0,051
CDH15|P55291;CDH15;NA;0,6032;0,8448;-0,033
CDH3|P22223;CDH3;NA;0,6040;0,8448;0,052
HLA-DPA1|P20036;HLA-DPA1;NA;0,6041;0,8448;-0,071
TAGLN|Q01995;TAGLN;red;0,6043;0,8448;-0,048
SPARCL1|Q14515;SPARCL1;yellow;0,6046;0,8448;-0,034
TNFRSF21|O75509;TNFRSF21;paleturquoise;0,6050;0,8448;0,030
SELL|P14151-2;SELL;NA;0,6050;0,8448;-0,048
JAM2|P57087-3;JAM2;grey;0,6051;0,8448;-0,016
TPM3|P06753-3;TPM3;grey;0,6054;0,8448;-0,057
MAN2A2|P49641;MAN2A2;orangered4;0,6056;0,8448;-0,022
FAM174A|Q8TBP5;FAM174A;NA;0,6072;0,8464;-0,076
CFHR3|Q02985;CFHR3;NA;0,6075;0,8464;-0,044
INAFM2|P0DMQ5;INAFM2;NA;0,6076;0,8464;0,035
CAND1|Q86VP6;CAND1;grey;0,6085;0,8472;0,044
TMEM178A|Q8NBL3;TMEM178A;tan;0,6091;0,8472;-0,024
VIM|P08670;VIM;red;0,6092;0,8472;0,047
LMNA|P02545;LMNA;blue;0,6095;0,8472;-0,041
C2orf40|Q9H1Z8;C2orf40;NA;0,6098;0,8472;-0,048
PLXNC1|O60486;PLXNC1;turquoise;0,6100;0,8472;-0,025
ROR1|Q01973;ROR1;NA;0,6104;0,8473;-0,026
MSR1|B4DDJ5;MSR1;NA;0,6110;0,8478;-0,033
CSRP1|P21291;CSRP1;blue;0,6115;0,8478;-0,038
PLOD1|Q02809-2;PLOD1;NA;0,6117;0,8478;-0,031
RPIA|P49247;RPIA;sienna3;0,6119;0,8478;-0,095
EFCAB14|O75071;EFCAB14;NA;0,6127;0,8485;-0,045
HEXB|P07686;HEXB;red;0,6130;0,8486;-0,041
TLN1|Q9Y490;TLN1;saddlebrown;0,6150;0,8509;-0,035
GCLC|P48506;GCLC;yellow;0,6170;0,8532;-0,087
S100A6|P06703;S100A6;green;0,6177;0,8535;-0,068
FBLN5|G3V4U0;FBLN5;red;0,6182;0,8535;-0,029
HAVCR2|Q8TDQ0;HAVCR2;NA;0,6184;0,8535;-0,021
EFEMP1|Q12805-5;EFEMP1;blue;0,6186;0,8535;0,085
STX1A|Q16623;STX1A;turquoise;0,6195;0,8535;0,035
GAS6|Q14393-2;GAS6;NA;0,6197;0,8535;-0,025
TMEM30A|Q9NV96;TMEM30A;orange;0,6197;0,8535;-0,018
CACNA2D1|P54289-2;CACNA2D1;turquoise;0,6198;0,8535;-0,024
CTSL|P07711;CTSL;grey;0,6205;0,8535;-0,020
PLXNA4|Q9HCM2;PLXNA4;turquoise;0,6211;0,8535;-0,027
HIST2H2BC|Q6DN03;HIST2H2BC;blue;0,6211;0,8535;-0,076
NDRG1|Q92597;NDRG1;yellow;0,6212;0,8535;0,032
CTSZ|Q9UBR2;CTSZ;saddlebrown;0,6213;0,8535;-0,022
NEO1|Q92859;NEO1;blue;0,6215;0,8535;-0,016
LCN1|P31025;LCN1;NA;0,6221;0,8535;0,054
SEMA4G|Q9NTN9-2;SEMA4G;NA;0,6221;0,8535;0,041
SSC5D|A1L4H1;SSC5D;red;0,6225;0,8535;-0,018
ADAMTS16|Q8TE57;ADAMTS16;NA;0,6227;0,8535;0,052
DNM1|Q05193-2;DNM1;turquoise;0,6229;0,8535;-0,019
COMP|P49747;COMP;NA;0,6235;0,8540;-0,034
GPC1|P35052;GPC1;skyblue3;0,6242;0,8545;-0,035
CD33|P20138;CD33;NA;0,6244;0,8545;-0,066
GALNS|P34059;GALNS;grey;0,6258;0,8559;-0,037
ACO2|A2A274;ACO2;brown;0,6266;0,8566;-0,037
PRDX1|Q06830;PRDX1;green;0,6271;0,8566;-0,022
TTR|P02766;TTR;red;0,6272;0,8566;-0,041
SEMA6B|Q9H3T3;SEMA6B;NA;0,6276;0,8568;-0,022
CREB3L4|Q8TEY5;CREB3L4;NA;0,6285;0,8569;-0,026
CNTN1|Q12860;CNTN1;purple;0,6286;0,8569;0,013
SEPT5|G3XAH0;05/Sep;turquoise;0,6286;0,8569;-0,065
SHISA6|Q6ZSJ9-3;SHISA6;NA;0,6291;0,8572;-0,022
PCOLCE|Q15113;PCOLCE;red;0,6299;0,8579;-0,028
CDH18|Q13634;CDH18;brown;0,6320;0,8603;-0,025
TAX1BP1|B8ZZD4;TAX1BP1;turquoise;0,6329;0,8611;0,027
RELT|Q969Z4;RELT;NA;0,6333;0,8613;0,034
PTPRJ|A0A087WVC6;PTPRJ;grey;0,6347;0,8627;0,018
ADIRF|Q15847;ADIRF;green;0,6349;0,8627;0,040
PTPRD|P23468-6;PTPRD;purple;0,6353;0,8627;0,021
EPHB4|P54760;EPHB4;turquoise;0,6364;0,8638;-0,025
PVRL1|Q15223;PVRL1;turquoise;0,6375;0,8650;-0,025
PILRA|Q9UKJ1-3;PILRA;NA;0,6388;0,8656;-0,034
PCDH10|Q9P2E7;PCDH10;skyblue;0,6389;0,8656;0,026
CALB1|P05937;CALB1;turquoise;0,6389;0,8656;0,028
EEF1A2|Q05639;EEF1A2;grey;0,6392;0,8656;-0,036
ACTN3|Q08043;ACTN3;NA;0,6395;0,8656;-0,033
SLC16A1|P53985;SLC16A1;yellow;0,6404;0,8664;-0,037
DCHS1|Q96JQ0;DCHS1;grey60;0,6409;0,8667;0,018
RNASE3|P12724;RNASE3;NA;0,6420;0,8678;0,023
EEF2|P13639;EEF2;darkturquoise;0,6427;0,8679;0,027
MYH11|P35749-2;MYH11;red;0,6427;0,8679;-0,041
ASL|P04424;ASL;lightcyan;0,6436;0,8682;-0,037
TNC|P24821;TNC;blue;0,6437;0,8682;0,017
RAB3A|P20336;RAB3A;turquoise;0,6441;0,8682;-0,080
SLC3A2|P08195-4;SLC3A2;turquoise;0,6441;0,8682;-0,012
ASAH2|Q9NR71;ASAH2;NA;0,6446;0,8682;0,039
KRT5|P13647;KRT5;floralwhite;0,6447;0,8682;0,057
CEP128|Q6ZU80;CEP128;NA;0,6454;0,8687;-0,075
LRP3|O75074;LRP3;NA;0,6468;0,8698;-0,022
CNTN6|Q9UQ52;CNTN6;NA;0,6470;0,8698;-0,019
CRELD2|Q6UXH1-5;CRELD2;violet;0,6471;0,8698;-0,031
CGREF1|Q99674-5;CGREF1;lightsteelblue1;0,6476;0,8700;-0,033
HLA-A|Q5SRN5;HLA-A;lightgreen;0,6485;0,8709;0,073
SLC4A1|P02730;SLC4A1;red;0,6498;0,8720;-0,105
ANTXR2|P58335;ANTXR2;NA;0,6501;0,8720;-0,023
SERPINB4|P48594;SERPINB4;NA;0,6503;0,8720;-0,083
MYL3|P08590;MYL3;red;0,6510;0,8720;0,047
0|P01617;0;NA;0,6517;0,8720;0,115
CAP2|P40123;CAP2;turquoise;0,6517;0,8720;-0,046
STOML2|Q9UJZ1;STOML2;brown;0,6520;0,8720;0,074
DAP|P51397;DAP;black;0,6528;0,8720;0,031
LYNX1|Q9BZG9;LYNX1;ivory;0,6529;0,8720;-0,026
CLCC1|Q96S66;CLCC1;pink;0,6530;0,8720;0,029
FCN2|Q15485;FCN2;NA;0,6531;0,8720;-0,066
VSTM2B|A6NLU5;VSTM2B;turquoise;0,6536;0,8720;0,022
OLA1|J3KQ32;OLA1;purple;0,6537;0,8720;-0,051
D4S234E|D3DVS7;D4S234E;NA;0,6538;0,8720;0,020
TPM1|P09493;TPM1;steelblue;0,6542;0,8720;0,060
PLA2G7|Q13093;PLA2G7;NA;0,6545;0,8720;0,029
PAPPA|Q13219;PAPPA;NA;0,6546;0,8720;-0,026
LRRTM2|O43300;LRRTM2;turquoise;0,6551;0,8720;0,018
DPP6|P42658;DPP6;turquoise;0,6552;0,8720;0,019
USP14|P54578;USP14;purple;0,6557;0,8720;-0,048
PTGR1|Q14914;PTGR1;grey;0,6562;0,8720;-0,061
CACNA2D1|P54289-3;CACNA2D1;turquoise;0,6563;0,8720;0,035
SEMA7A|O75326;SEMA7A;salmon;0,6566;0,8720;-0,026
ITGB1|P05556-3;ITGB1;saddlebrown;0,6567;0,8720;-0,011
COL5A1|P20908;COL5A1;red;0,6572;0,8723;-0,045
ACLY|P53396;ACLY;yellow;0,6584;0,8730;-0,051
LYNX1|Q9BZG9-2;LYNX1;ivory;0,6587;0,8730;-0,045
SUMF1|Q8NBK3;SUMF1;NA;0,6590;0,8730;-0,025
MYH1|P12882;MYH1;NA;0,6591;0,8730;0,043
HEXA|P06865;HEXA;magenta;0,6592;0,8730;-0,035
HLA-C|Q29865;HLA-C;lightgreen;0,6600;0,8733;0,065
CA4|P22748;CA4;turquoise;0,6601;0,8733;-0,021
COL18A1|P39060;COL18A1;red;0,6610;0,8738;-0,018
IGHA1|P01876;IGHA1;midnightblue;0,6610;0,8738;-0,085
LMAN1|P49257;LMAN1;blue;0,6614;0,8739;-0,032
HLA-DRB1|P13760;HLA-DRB1;darkgrey;0,6621;0,8743;-0,079
HLA-B|P30481;HLA-B;grey;0,6624;0,8743;-0,088
OXT|P01178;OXT;NA;0,6630;0,8743;-0,022
SOD3|P08294;SOD3;saddlebrown;0,6633;0,8743;0,027
GALNT2|Q10471;GALNT2;cyan;0,6637;0,8743;0,015
C1GALT1|Q9NS00;C1GALT1;NA;0,6637;0,8743;-0,021
KRT13|P13646;KRT13;NA;0,6642;0,8743;-0,103
GABBR1|Q9UBS5;GABBR1;turquoise;0,6644;0,8743;-0,071
CALY|Q9NYX4;CALY;NA;0,6644;0,8743;-0,018
FAT1|A0A087WVP1;FAT1;NA;0,6648;0,8743;-0,021
SLC39A14|Q15043;SLC39A14;darkmagenta;0,6653;0,8746;-0,028
LTBR|P36941;LTBR;NA;0,6658;0,8749;0,039
TSN|Q15631;TSN;pink;0,6667;0,8750;-0,060
MADCAM1|A0A087WXC9;MADCAM1;NA;0,6668;0,8750;-0,040
EDNRB|P24530-3;EDNRB;NA;0,6668;0,8750;-0,019
MMP28|Q9H239;MMP28;NA;0,6679;0,8760;-0,030
NOP56|O00567;NOP56;lightcyan;0,6685;0,8761;0,028
LGMN|Q99538;LGMN;darkgreen;0,6687;0,8761;-0,036
EPHA10|J3KQG3;EPHA10;NA;0,6696;0,8761;-0,038
ATP1B3|P54709;ATP1B3;red;0,6703;0,8761;-0,027
ASS1|P00966;ASS1;saddlebrown;0,6703;0,8761;-0,037
LILRB5|O75023-3;LILRB5;NA;0,6708;0,8761;-0,037
CEP112|Q8N8E3;CEP112;NA;0,6708;0,8761;-0,036
ATF6B|Q99941;ATF6B;NA;0,6712;0,8761;-0,017
NAGK|Q9UJ70-2;NAGK;pink;0,6716;0,8761;0,020
COX7C|P15954;COX7C;turquoise;0,6719;0,8761;0,041
FITM1|A5D6W6;FITM1;NA;0,6720;0,8761;-0,033
MYL2|P10916;MYL2;NA;0,6726;0,8761;0,046
SEZ6L|Q9BYH1-4;SEZ6L;turquoise;0,6730;0,8761;-0,044
0|P06331;0;NA;0,6730;0,8761;-0,083
ASTN1|O14525;ASTN1;turquoise;0,6731;0,8761;-0,023
GAL3ST3|Q96A11;GAL3ST3;NA;0,6733;0,8761;0,045
GGH|Q92820;GGH;magenta;0,6735;0,8761;-0,026
ACAN|H0YM81;ACAN;blue;0,6735;0,8761;0,027
CTSS|P25774;CTSS;NA;0,6738;0,8761;-0,023
PLEKHB1|Q9UF11-2;PLEKHB1;yellow;0,6752;0,8769;-0,030
LAMA2|A0A087WYF1;LAMA2;red;0,6752;0,8769;-0,050
CLU|H0YC35;CLU;saddlebrown;0,6753;0,8769;-0,045
MTCH1|H0Y8C3;MTCH1;turquoise;0,6758;0,8772;0,059
IGFBP3|P17936-2;IGFBP3;NA;0,6771;0,8784;0,031
GSTM1|P09488;GSTM1;green;0,6780;0,8792;-0,109
XPNPEP1|Q9NQW7-3;XPNPEP1;pink;0,6794;0,8803;0,025
PLD5|Q8N7P1;PLD5;NA;0,6795;0,8803;-0,034
OLFM1|Q99784;OLFM1;turquoise;0,6797;0,8803;-0,017
LDLRAD2|Q5SZI1;LDLRAD2;NA;0,6802;0,8805;-0,034
SERPINF1|I3L425;SERPINF1;grey;0,6811;0,8812;-0,051
KIAA1549L|Q6ZVL6;KIAA1549L;turquoise;0,6822;0,8819;-0,033
CA10|Q9NS85;CA10;NA;0,6822;0,8819;0,031
ATP6V1A|P38606;ATP6V1A;turquoise;0,6826;0,8819;-0,035
BGLAP|P02818;BGLAP;NA;0,6829;0,8819;0,035
CLTB|P09497;CLTB;turquoise;0,6842;0,8832;0,035
PI3|P19957;PI3;NA;0,6846;0,8834;0,044
NDRG2|Q9UN36;NDRG2;grey;0,6858;0,8845;-0,027
MXRA7|P84157-3;MXRA7;cyan;0,6861;0,8845;-0,017
